"Gene","lfc","padj","Stage","Significant","Regulation"
"Myoglobin",-0.742266326743181,0.264827854510575,"Middle",FALSE,"None"
"MMP9",-0.268876331808645,0.396285762620674,"Middle",FALSE,"None"
"IL-1β",0.508194102709258,0.619985212086925,"Middle",FALSE,"None"
"Plasminogen",-0.11832580079539,0.698068343722327,"Middle",FALSE,"None"
"MCP-1",-0.248256158354852,0.765859409014555,"Middle",FALSE,"None"
"Eotaxin",-0.396179343097144,0.821584459210417,"Middle",FALSE,"None"
"Galectin-9",-0.228014179714533,0.821584459210417,"Middle",FALSE,"None"
"B7-2",-0.253626850382961,0.821584459210417,"Middle",FALSE,"None"
"MIG",-0.379464619982274,0.821584459210417,"Middle",FALSE,"None"
"Factor IX",-0.348122864069378,0.821584459210417,"Middle",FALSE,"None"
"TF",0.151465210632745,0.844020898961969,"Middle",FALSE,"None"
"IL-8",0.389986634403941,0.844020898961969,"Middle",FALSE,"None"
"IP-10",0.190041122995905,0.856783552634415,"Middle",FALSE,"None"
"GM-CSF",0.3737920410555,0.863926645135981,"Middle",FALSE,"None"
"IL-10",0.391370417755808,0.863926645135981,"Middle",FALSE,"None"
"sCD25",-0.241207167204147,0.870755081583261,"Middle",FALSE,"None"
"PD-L1",-0.239341170069529,0.880653191309836,"Middle",FALSE,"None"
"TIM-3",-0.320957535212107,0.880653191309836,"Middle",FALSE,"None"
"IFN-β",0.242497916460022,0.923561645569155,"Middle",FALSE,"None"
"Fibrinogen",0.065465132059483,0.923561645569155,"Middle",FALSE,"None"
"TNF-α",0.295953379265836,0.923561645569155,"Middle",FALSE,"None"
"IL-17A",-0.159962539556274,0.923561645569155,"Middle",FALSE,"None"
"PD-1",-0.28722448768726,0.923561645569155,"Middle",FALSE,"None"
"4-1BB",-0.142617765385174,0.984630793880184,"Middle",FALSE,"None"
"IL-23",0.139110678776196,0.984630793880184,"Middle",FALSE,"None"
"IGFBP4",0.0431507064456831,0.984630793880184,"Middle",FALSE,"None"
"sCD40L",-0.0364473818466529,0.984630793880184,"Middle",FALSE,"None"
"IL-6",-0.0758946973842409,0.984630793880184,"Middle",FALSE,"None"
"CTLA-4",-0.122624636497208,0.984630793880184,"Middle",FALSE,"None"
"IL-12p40",-0.0469192863737173,0.984630793880184,"Middle",FALSE,"None"
"Antithrombin",-0.00925857189631429,0.984630793880184,"Middle",FALSE,"None"
"IFN-y",-0.0312538765660673,0.984630793880184,"Middle",FALSE,"None"
"TGF-β1",0.0332907111938248,0.984630793880184,"Middle",FALSE,"None"
"LAG-3",0.0113571690141061,0.984630793880184,"Middle",FALSE,"None"
"NGAL",-1.59378209609316,5.02936448664315e-24,"Late",TRUE,"Down"
"D-dimer",-1.99208863552145,1.46872747253607e-21,"Late",TRUE,"Down"
"ICAM-1",0.700755464811451,6.99089547913128e-21,"Late",FALSE,"None"
"OPN",4.84499534160686,7.82798259063919e-18,"Late",TRUE,"Up"
"Cystatin C",2.75986359696725,8.62605878443809e-16,"Late",TRUE,"Up"
"MPO",1.67706063387604,2.83890023905586e-15,"Late",TRUE,"Up"
"VCAM-1",-1.45810876687675,2.05766268871657e-13,"Late",TRUE,"Down"
"CRP",3.89263457406077,5.2063880226771e-09,"Late",TRUE,"Up"
"SAA",3.30885067594381,4.05366850055108e-08,"Late",TRUE,"Up"
"MIP-1α",-3.21934324939465,5.83290965777776e-05,"Late",TRUE,"Down"
"PSGL-1",0.229575324783806,0.000122643192172399,"Late",FALSE,"None"
"Factor IX",-1.66671231622345,0.000143496416728467,"Late",TRUE,"Down"
"P-selectin",-0.113932130044395,0.000328676684119996,"Late",FALSE,"None"
"tPA",-0.935813306561336,0.00167209385585036,"Late",FALSE,"None"
"CXCL8",-0.554826502377161,0.00368806993413375,"Late",FALSE,"None"
"MIP-1β",-0.8420005348856,0.0201529517146814,"Late",FALSE,"None"
"PAI-1",-1.22917974402981,0.0201529517146814,"Late",TRUE,"Down"
"Prothrombin",-0.34387735794612,0.0240897244434484,"Late",FALSE,"None"
"ITAC",-0.809316687416682,0.0482659987789204,"Late",FALSE,"None"
"Factor XIII",-0.36004031973053,0.0530636831192926,"Late",FALSE,"None"
"RANTES",-1.18844139379948,0.14613346463874,"Late",FALSE,"None"
"Myoglobin",-0.692403305849982,0.14613346463874,"Late",FALSE,"None"
"MMP9",-0.29262505050362,0.14613346463874,"Late",FALSE,"None"
"MIG",-0.750520855429449,0.161799693496112,"Late",FALSE,"None"
"MMP2",0.300119645199256,0.164072322493387,"Late",FALSE,"None"
"MCP-1",-0.32610503906997,0.295793629136448,"Late",FALSE,"None"
"Galectin-9",-0.338360274926364,0.317277779477817,"Late",FALSE,"None"
"MRP8/14",-0.515009376867116,0.317277779477817,"Late",FALSE,"None"
"GM-CSF",0.554402031327485,0.532679861321411,"Late",FALSE,"None"
"B7-2",-0.268786461906414,0.582041096372676,"Late",FALSE,"None"
"sCD25",-0.33272535420342,0.617719160491469,"Late",FALSE,"None"
"PD-L1",-0.354416387376326,0.617719160491469,"Late",FALSE,"None"
