"Gene","lfc","padj","Stage","Significant","Regulation"
"ISG20",0.515599381259227,0.264105258095833,"Early",FALSE,"None"
"RHOA",-0.476255979203803,0.281431789666164,"Early",FALSE,"None"
"LTB",-0.433946812030577,0.270945800725455,"Early",FALSE,"None"
"MAP3K1",-0.400193228073173,0.283089765046613,"Early",FALSE,"None"
"BCL3",-0.43768374587539,0.264105258095833,"Early",FALSE,"None"
"IL28B",0.238670144787084,0.19866844786464,"Early",FALSE,"None"
"MEF2D",-0.337415280723812,0.264105258095833,"Early",FALSE,"None"
"TGFBR2",-0.437727932489013,0.302167484133393,"Early",FALSE,"None"
"LEF1",-0.431549375425151,0.300588487877189,"Early",FALSE,"None"
"CAMP",-0.547063147330575,0.288745072512231,"Early",FALSE,"None"
"CCR2",-0.382715801766203,0.283089765046613,"Early",FALSE,"None"
"KCNJ2",-0.619605141469776,0.333043470395409,"Early",FALSE,"None"
"TLR2",-0.679744595905118,0.339185011215526,"Early",FALSE,"None"
"C1QB",0.352648305516013,0.241748734719049,"Early",FALSE,"None"
"CD82",-0.461588222344852,0.311874932348803,"Early",FALSE,"None"
"KIR2DL4",0.264920948301882,0.241748734719049,"Early",FALSE,"None"
"TNFRSF1B",-0.447825140562474,0.341182309510499,"Early",FALSE,"None"
"STAT5A",-0.392897904641782,0.33798637214851,"Early",FALSE,"None"
"IL10RA",-0.400666912943288,0.345401949667489,"Early",FALSE,"None"
"STAT1",0.485168086924032,0.350600114126239,"Early",FALSE,"None"
"CD1C",-0.517768682586524,0.345251466000599,"Early",FALSE,"None"
"NR3C1",-0.393023325286757,0.345401949667489,"Early",FALSE,"None"
"SYK",-0.431410478686168,0.349296880903056,"Early",FALSE,"None"
"SOCS1",0.30069700070204,0.245772817158561,"Early",FALSE,"None"
"IL10RB",-0.372571817253105,0.350149595055279,"Early",FALSE,"None"
"CD5",-0.357300664058001,0.300588487877189,"Early",FALSE,"None"
"ICAM2",-0.366871840322963,0.373566378017962,"Early",FALSE,"None"
"DPP4",-0.399172504697223,0.357808942480682,"Early",FALSE,"None"
"TNFSF8",-0.359722130384775,0.350600114126239,"Early",FALSE,"None"
"ATM",-0.465823099889493,0.374142078229545,"Early",FALSE,"None"
"TRADD",0.246094655750386,0.264105258095833,"Early",FALSE,"None"
"PTPN6",-0.343329821214536,0.357585561476492,"Early",FALSE,"None"
"ITGAL",-0.44144675718986,0.391983672966596,"Early",FALSE,"None"
"TMEM173",0.250269510245388,0.282830965818397,"Early",FALSE,"None"
"LILRB5",0.246423736225264,0.264105258095833,"Early",FALSE,"None"
"FCGR1A",-0.506368025175441,0.401412595736254,"Early",FALSE,"None"
"MALT1",-0.423156567995317,0.403953356117111,"Early",FALSE,"None"
"TNFSF14",-0.324319124564594,0.333971525279603,"Early",FALSE,"None"
"CD247",-0.395441410473451,0.401412595736254,"Early",FALSE,"None"
"TYROBP",-0.399775952036377,0.439255302547436,"Early",FALSE,"None"
"IL12RB2",-0.380913919168023,0.350600114126239,"Early",FALSE,"None"
"NFATC2",-0.373927792408877,0.357808942480682,"Early",FALSE,"None"
"IGF2R",-0.528713089790113,0.426658719643162,"Early",FALSE,"None"
"CXCR4",-0.379522130284165,0.433643552873781,"Early",FALSE,"None"
"MYC",-0.354123045762229,0.40157861974988,"Early",FALSE,"None"
"IDO1",0.409359925683804,0.45370073502419,"Early",FALSE,"None"
"NFKBIZ",-0.398454387753604,0.416448624452479,"Early",FALSE,"None"
"PTGIR",0.212712360257227,0.288745072512231,"Early",FALSE,"None"
"IL2RG",-0.459542002350897,0.446016394928479,"Early",FALSE,"None"
"IL4",0.241490523894657,0.300588487877189,"Early",FALSE,"None"
"DDX50",0.396190475501857,0.523609469309579,"Early",FALSE,"None"
"NFATC1",-0.296992309885492,0.414621348175657,"Early",FALSE,"None"
"ITGA2B",0.438665669477016,0.482371614170655,"Early",FALSE,"None"
"MAP3K5",-0.279753577199735,0.462657535282572,"Early",FALSE,"None"
"TYK2",-0.341764560058914,0.463759237187785,"Early",FALSE,"None"
"PTAFR",-0.398655783099453,0.470781623079822,"Early",FALSE,"None"
"SRC",0.24930948062551,0.345401949667489,"Early",FALSE,"None"
"PTGS2",-0.546811800762288,0.496246027670458,"Early",FALSE,"None"
"CDKN1A",0.408478017248109,0.462657535282572,"Early",FALSE,"None"
"FKBP5",-0.341298291727609,0.509659252054535,"Early",FALSE,"None"
"CASP3",-0.387639224517363,0.533856563014278,"Early",FALSE,"None"
"MAPK1",-0.323657128159223,0.533856563014278,"Early",FALSE,"None"
"LILRA3",-0.498235011837677,0.483823138318537,"Early",FALSE,"None"
"FOS",0.522342251990972,0.553119967822573,"Early",FALSE,"None"
"ITLN1",0.21529933688269,0.345251466000599,"Early",FALSE,"None"
"IL15",-0.358576157448572,0.471538474746314,"Early",FALSE,"None"
"STAT3",-0.361426038887044,0.543229121059369,"Early",FALSE,"None"
"CD163",-0.301379881123387,0.449760133854395,"Early",FALSE,"None"
"CSF3R",-0.439628147181487,0.543229121059369,"Early",FALSE,"None"
"C5aR1",-0.385599009035984,0.50740669879819,"Early",FALSE,"None"
"TLR4",-0.479602166270229,0.543478845358819,"Early",FALSE,"None"
"REPS1",-0.328545616240555,0.509659252054535,"Early",FALSE,"None"
"CCND3",0.254483606518003,0.554509506481392,"Early",FALSE,"None"
"CD83",0.22000799024895,0.357808942480682,"Early",FALSE,"None"
"CD58",-0.370208982699152,0.554509506481392,"Early",FALSE,"None"
"TAP1",0.358298342680927,0.564417099072339,"Early",FALSE,"None"
"TARP",-0.463914878344371,0.554509506481392,"Early",FALSE,"None"
