"Gene","lfc","padj","Stage","Significant","Regulation"
"IRAK2",0.421998180685837,0.0237338341604585,"Early",FALSE,"None"
"MAP3K5",-0.981464438703942,0.0380169162102931,"Early",FALSE,"None"
"ATG12",-0.940089878429546,0.038339848874245,"Early",FALSE,"None"
"CD163",-0.634031844679311,0.0341841917880808,"Early",FALSE,"None"
"DOCK9",0.459031360043111,0.0286816266040678,"Early",FALSE,"None"
"TAPBP",-0.911320812554562,0.0455957650785479,"Early",FALSE,"None"
"FADD",0.532675382175302,0.032499420328156,"Early",FALSE,"None"
"SKI",0.493246311922418,0.0318862148787547,"Early",FALSE,"None"
"APOE",-1.22197239767139,0.0482745626454006,"Early",TRUE,"Down"
"TARP",0.73601351523015,0.0448690140121584,"Early",FALSE,"None"
"UBB",0.535904825559971,0.0212413434217755,"Early",FALSE,"None"
"ICAM3",-0.862491340528882,0.0547332649199334,"Early",FALSE,"None"
"BCL6",-0.973210782203537,0.0551274723388353,"Early",FALSE,"None"
"ATG5",-0.911541118935314,0.0557749245729221,"Early",FALSE,"None"
"LY96",-0.956433318443767,0.0557749245729221,"Early",FALSE,"None"
"RAF1",-0.744199502775801,0.0551274723388353,"Early",FALSE,"None"
"NFKBIA",-0.919670093958209,0.0573007597175189,"Early",FALSE,"None"
"CD3G",-0.885077053498787,0.0573007597175189,"Early",FALSE,"None"
"NFIL3",-0.894717689162063,0.0567564639557347,"Early",FALSE,"None"
"MX2",-0.913421753089324,0.0573007597175189,"Early",FALSE,"None"
"GZMB",0.653878214567431,0.041911619393688,"Early",FALSE,"None"
"PTGS1",0.626620591246476,0.0444440941339047,"Early",FALSE,"None"
"HLA-DRA",0.479855426521233,0.042639513894403,"Early",FALSE,"None"
"FASLG",-0.850507506073421,0.0604601056319142,"Early",FALSE,"None"
"EGR1",0.637023551023651,0.0482745626454006,"Early",FALSE,"None"
"IFI16",-0.699800692828161,0.0573007597175189,"Early",FALSE,"None"
"IL21R",0.38686719368965,0.0437967977372799,"Early",FALSE,"None"
"IDO2",-0.692332882117907,0.0625604166185258,"Early",FALSE,"None"
"IL13RA1",-0.777450929048902,0.0690332237453202,"Early",FALSE,"None"
"NFKBIZ",-0.776822088822572,0.0690332237453202,"Early",FALSE,"None"
"BAX",-0.731980569021268,0.0719458138800436,"Early",FALSE,"None"
"MYD88",-0.755509429778153,0.0690332237453202,"Early",FALSE,"None"
"MAPK14",-0.721981668082312,0.0690332237453202,"Early",FALSE,"None"
"PRKCD",-0.878573283966816,0.0728004040767658,"Early",FALSE,"None"
"IFNAR2",-0.764814964981872,0.0719458138800436,"Early",FALSE,"None"
"TNFRSF1B",-0.815379577920146,0.0728004040767658,"Early",FALSE,"None"
"NFKB1",-0.86127207959347,0.0728004040767658,"Early",FALSE,"None"
"MMP9",-1.01229439345139,0.0728004040767658,"Early",FALSE,"None"
"CMKLR1",-0.835076333309988,0.0690332237453202,"Early",FALSE,"None"
"IL7R",0.527926569397309,0.061349585487096,"Early",FALSE,"None"
"PECAM1",-0.802962199220565,0.0746436867898936,"Early",FALSE,"None"
"RARRES3",-0.784929584722331,0.0753354870079979,"Early",FALSE,"None"
"IL15",-0.661905348685259,0.0719458138800436,"Early",FALSE,"None"
"TNFAIP3",-0.834722506499767,0.0778090992547982,"Early",FALSE,"None"
"TGFBR1",-0.909761674009541,0.077573144796325,"Early",FALSE,"None"
"GNAS",0.512834379464312,0.0690332237453202,"Early",FALSE,"None"
"TRIM39",0.397949323401632,0.0556392907498434,"Early",FALSE,"None"
"RUNX1",-0.789662009653783,0.0810227084617683,"Early",FALSE,"None"
"LCK",-0.829550567634485,0.0827973515338762,"Early",FALSE,"None"
"HLA-DRB1",0.446088523846974,0.0702499589832706,"Early",FALSE,"None"
"HMGB1",0.52599878274499,0.0455851444810487,"Early",FALSE,"None"
"TLR5",-0.876929977833737,0.0819421872317918,"Early",FALSE,"None"
"CD1C",-0.842713964950485,0.0841213570330395,"Early",FALSE,"None"
"CD68",-0.792326448987814,0.0853183486091844,"Early",FALSE,"None"
"GFI1",0.395430911443933,0.061349585487096,"Early",FALSE,"None"
"TNFRSF14",0.356314880851632,0.0611527514863088,"Early",FALSE,"None"
"S100A8",-0.922999936982938,0.0791538203800684,"Early",FALSE,"None"
"STAT5B",-0.801396211579023,0.093489068460137,"Early",FALSE,"None"
"CD1D",0.445081188341838,0.0690332237453202,"Early",FALSE,"None"
"IL6R",-0.734118331123956,0.0994983523165326,"Early",FALSE,"None"
"PRDM1",-0.851427080141925,0.106486889438859,"Early",FALSE,"None"
"ATG7",-0.531059780829655,0.0970237837050329,"Early",FALSE,"None"
"PTPN2",-0.772910685369062,0.109152384879541,"Early",FALSE,"None"
"AHR",-0.607026818023082,0.0970237837050329,"Early",FALSE,"None"
"LILRA2",-0.928674063801206,0.108259965097902,"Early",FALSE,"None"
