"Gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"ABCB1",-0.00548603347092325,0.981417298705306,-0.0928511813178448,0.717797703132386,-0.208380617900138,0.632017345709765
"ABCF1",-0.122802064590587,0.739937260564005,-0.00294521153434513,0.995770652654656,0.101487089509538,0.934710508757316
"AHR",-0.607026818023082,0.0970237837050329,-0.670129519138217,0.0656638229270454,-0.835445677064931,0.0771766984947521
"AKT3",0.76352551402419,0.00604912241962472,0.910088329996107,0.000419922266273601,0.83429403440568,0.0178006614401377
"ALAS1",0.0462869527736247,0.878832781096535,-0.169624132954458,0.618478121501616,-0.33105642238723,0.545090512252284
"ALOX15",0.179929962407234,0.72944406505391,0.0482090528285362,0.927106964759683,0.375485526221869,0.73366433574184
"ALOX5",0.303970179168219,0.116221521067134,0.247077324799193,0.193226594063941,0.101075594739004,0.821889440631449
"ANP32B",0.356699108040393,0.438930859432463,0.608703921096476,0.183669484190719,0.213824680283617,0.863669104573411
"APOE",-1.22197239767139,0.0482745626454006,-0.095019526176328,0.891392704586752,-1.15364347833369,0.207313149984965
"APP",-0.289716020866743,0.567675535012573,0.149427148714414,0.793431768464418,0.150171546683479,0.934710508757316
"ARG2",-1.29184190970668,0.00867161079179128,-1.32377929330484,0.00438106288193072,-0.284937208953361,0.819841464001106
"ARHGDIB",0.49626030500667,0.011273419190625,0.181299063517526,0.386553369147282,0.186712460296709,0.632017345709765
"ATF2",-0.71781135539108,0.133001111081699,-0.648827601748458,0.18446609211321,-0.234752707849656,0.862815195912877
"ATG10",0.32738166966115,0.245165240311203,0.0659679661756849,0.829710669977811,0.128465712648631,0.858958648954708
"ATG12",-0.940089878429546,0.038339848874245,0.0146436819594111,0.979185414039229,-0.154501589827799,0.91360048142011
"ATG5",-0.911541118935314,0.0557749245729221,-0.644508657841166,0.185942763185432,-0.25608743306554,0.834902144264679
"ATG7",-0.531059780829655,0.0970237837050329,-0.917595254824022,0.00273057379269635,-1.07636588506612,0.00308986912816615
"ATM",-0.418822215514065,0.407900746042739,-0.258689986013341,0.654246921230135,-0.0886193227998398,0.958964251317545
"B2M",0.465076792857731,0.00370136594778304,0.0811197387661657,0.646329462607982,0.464550790549184,0.0256251715038
"BATF",-0.0251182690018785,0.915794204480302,-0.0401554347506652,0.885038862783577,-0.0654247155991881,0.934710508757316
"BAX",-0.731980569021268,0.0719458138800436,0.1951793459671,0.662614232584307,0.202534605572977,0.840901855604033
"BCAP31",-0.407183013967133,0.380022783839211,-0.0907519388610991,0.868740141753089,0.0565571237022287,0.968098229798946
"BCL10",-0.496889576904395,0.398289938196252,-0.220844982705604,0.745305688508932,-0.0412828462172232,0.979500346937316
"BCL2",-0.636905772105718,0.161046481758054,-0.463003647209499,0.348064129837328,-0.0293992024394933,0.981051453120823
"BCL2L1",0.502492760425925,0.200392162116298,1.28027687765218,0.000509769538110245,1.26629006946253,0.0094690186007627
"BCL2L11",-0.706574098393497,0.10679203449066,-0.804701356684667,0.0642012693393092,-0.727092639657627,0.328704718398414
"BCL3",-0.528720005177685,0.160102608400002,-0.980693559967358,0.00538386944371475,0.0368070674859577,0.968647359245714
"BCL6",-0.973210782203537,0.0551274723388353,-1.61472228214289,0.000419922266273601,-0.300668244409444,0.811644483782367
"BID",-0.661030962916767,0.187237017795018,-0.408894156076917,0.462449645796734,-0.298274632856673,0.811644483782367
"BIRC2",-0.767039810565113,0.116221521067134,-0.133763146006604,0.809220349242037,-0.304262349539901,0.796390451749603
"BLNK",-0.0228150758798353,0.921838364721422,-0.110180223726757,0.695096703076617,-0.22570966030905,0.632017345709765
"BST2",-1.22793661245759,0.00673146588671134,-1.10469183122309,0.0104198578944615,-0.610382462840954,0.494251910435014
"C10orf54",-0.510667019286013,0.185187698019923,0.021509948014975,0.957230435035521,0.368005258460856,0.627611552416583
"C14orf166",0.2735894678706,0.476582212878327,0.444708323836842,0.239812865500841,0.411879462989335,0.584263926300169
"C1QBP",-0.495720545290919,0.302957123667366,0.240422855774232,0.662614232584307,0.0464445884249836,0.968427387112029
"C3AR1",0.493469045414263,0.00652991398032798,0.406103897567341,0.0145081880873746,0.290574460985048,0.342292579403108
"C4BPA",0.3838834601986,0.623431956520741,0.373340555567607,0.662614232584307,0.964366591390946,0.539828912483476
"C5",0.296000813176351,0.522367515596674,1.11146299734214,0.00850822415028314,1.03285228768655,0.112807182345557
