"Gene","lfc","padj","Stage","Significant","Regulation"
"MRP8/14",-1.11841606630406,0.0178646370856322,"Middle",TRUE,"Down"
"TNF-α",-0.681096543579129,0.0253165085074846,"Middle",FALSE,"None"
"Fibrinogen",0.438830294381557,0.0274700514718309,"Middle",FALSE,"None"
"Galectin-9",0.846739378305523,0.0409041869435956,"Middle",FALSE,"None"
"D-dimer",0.898562641272548,0.0848979216928817,"Middle",FALSE,"None"
"PAI-1",0.737638254424954,0.0848979216928817,"Middle",FALSE,"None"
"MIP-1α",-0.776565810637639,0.0923211708968525,"Middle",FALSE,"None"
"TF",0.824340148614738,0.145649194691826,"Middle",FALSE,"None"
"tPA",0.671652239514614,0.183535443493335,"Middle",FALSE,"None"
"Factor XIII",0.346869790620648,0.183535443493335,"Middle",FALSE,"None"
"SAA",-0.568898047923209,0.183535443493335,"Middle",FALSE,"None"
"P-selectin",0.660399057423547,0.183535443493335,"Middle",FALSE,"None"
"RANTES",0.999667590994576,0.183535443493335,"Middle",FALSE,"None"
"sCD40L",0.860997202823253,0.183535443493335,"Middle",FALSE,"None"
"MIG",1.02537791981393,0.243543397073752,"Middle",FALSE,"None"
"Factor IX",0.610327034002612,0.285905460666035,"Middle",FALSE,"None"
"IL-10",0.284163983585966,0.356763724078092,"Middle",FALSE,"None"
"IL-23",0.242240066453356,0.502774138075376,"Middle",FALSE,"None"
"TGF-β1",0.582580902236004,0.534003773877862,"Middle",FALSE,"None"
"4-1BB",-0.399494812408009,0.564675533239412,"Middle",FALSE,"None"
"ICAM-1",-0.0577589120216313,0.592353239221673,"Middle",FALSE,"None"
"sCD25",-0.320718454584601,0.661277939851434,"Middle",FALSE,"None"
"Myoglobin",0.286654641483285,0.695725180751441,"Middle",FALSE,"None"
"IFN-β",0.294215047126719,0.695725180751441,"Middle",FALSE,"None"
"IL-8",0.272746684252704,0.695725180751441,"Middle",FALSE,"None"
"Plasminogen",-0.071365448876076,0.824037534262926,"Middle",FALSE,"None"
"IGFBP4",0.0680424854530912,0.838399206545182,"Middle",FALSE,"None"
"IL-12p40",-0.0917493831342213,0.868087237751466,"Middle",FALSE,"None"
"IL-17A",0.046821943409119,0.868087237751466,"Middle",FALSE,"None"
"CTLA-4",-0.210527798567762,0.868087237751466,"Middle",FALSE,"None"
"PD-1",-0.254566502766217,0.873425804658229,"Middle",FALSE,"None"
"GM-CSF",0.0485700977260981,0.95442173778778,"Middle",FALSE,"None"
"IL-6",-0.0327651626985173,0.990612635079751,"Middle",FALSE,"None"
"LAG-3",-0.0459780101799332,0.990970014625945,"Middle",FALSE,"None"
"IL-1β",0.022213627148993,0.990970014625945,"Middle",FALSE,"None"
"TIM-3",0.020908189691089,0.990970014625945,"Middle",FALSE,"None"
"PD-L1",0.016194152778982,0.990970014625945,"Middle",FALSE,"None"
"Antithrombin",0.00133087375443708,0.990970014625945,"Middle",FALSE,"None"
"VCAM-1",-2.06010179481184,5.12058431028314e-36,"Late",TRUE,"Down"
"ITAC",7.16445128809403,2.01331523588635e-25,"Late",TRUE,"Up"
"D-dimer",5.13569508237472,8.37130810532968e-24,"Late",TRUE,"Up"
"PSGL-1",1.26744156625494,2.99950429630256e-23,"Late",TRUE,"Up"
"IP-10",5.05346293360611,3.12680551377805e-22,"Late",TRUE,"Up"
"MCP-1",3.51354481391977,2.36104134928209e-19,"Late",TRUE,"Up"
"MIP-1β",4.02485371664372,1.58808907243364e-18,"Late",TRUE,"Up"
"Galectin-9",3.27597460761026,4.35796072344045e-18,"Late",TRUE,"Up"
"MIG",6.59292040826263,4.35796072344045e-18,"Late",TRUE,"Up"
"B7-2",2.19042890269606,7.3696626213965e-17,"Late",TRUE,"Up"
"Eotaxin",3.56693457212522,9.52893470141534e-16,"Late",TRUE,"Up"
"IFN-y",4.11422817831242,5.47981049916426e-13,"Late",TRUE,"Up"
"PAI-1",2.5253706788709,7.84389356090644e-13,"Late",TRUE,"Up"
"MMP2",-1.27063784560546,1.76960158005003e-12,"Late",TRUE,"Down"
"tPA",2.7737520903082,1.76960158005003e-12,"Late",TRUE,"Up"
"CXCL8",1.33070729387177,5.14771621452041e-12,"Late",TRUE,"Up"
"CRP",2.58899858011316,1.40288775004044e-10,"Late",TRUE,"Up"
"Cystatin C",1.09819410260398,8.88899136821795e-09,"Late",TRUE,"Up"
"MMP9",0.55336498259479,3.61319365272204e-07,"Late",FALSE,"None"
"Plasminogen",-0.682327002495352,2.94603661723064e-06,"Late",FALSE,"None"
"Prothrombin",-0.244287036992979,2.94603661723064e-06,"Late",FALSE,"None"
"IGFBP4",0.697516886737194,3.6961726527788e-06,"Late",FALSE,"None"
"TF",1.78734014293238,1.63863851555477e-05,"Late",TRUE,"Up"
